,filename,count_variables
0,2_0_dow_risk,1.0
1,2_1_benford_law,2.0
2,2_2_1_velocity_counts_and_days_since,2291.0
3,2_2_2_relative_velocity,696.0
4,2_3_counts_entities_01_Cardnum,196.0
5,2_3_counts_entities_02_Merchnum,196.0
6,2_3_counts_entities_03_Merch_description,196.0
7,2_3_counts_entities_04_Merch_num_des,196.0
8,2_3_counts_entities_05_Merch_num_state,196.0
9,2_3_counts_entities_06_Merch_num_zip,196.0
10,2_3_counts_entities_07_Merch_des_state,196.0
11,2_3_counts_entities_08_Merch_des_zip,196.0
12,2_3_counts_entities_09_Merch_state_zip,196.0
13,2_3_counts_entities_10_Merch_num_des_state,196.0
14,2_3_counts_entities_11_Merch_num_des_zip,196.0
15,2_3_counts_entities_12_Merch_num_state_zip,196.0
16,2_3_counts_entities_13_Merch_des_state_zip,196.0
17,2_3_counts_entities_14_Merch_all_info,196.0
18,2_3_counts_entities_15_card_Merchnum,196.0
19,2_3_counts_entities_16_card_Merch_description,196.0
20,2_3_counts_entities_17_card_Merch_state,196.0
21,2_3_counts_entities_18_card_Merch_zip,196.0
22,2_3_counts_entities_19_card_Merch_num_des,196.0
23,2_3_counts_entities_20_card_Merch_num_state,196.0
24,2_3_counts_entities_21_card_Merch_num_zip,196.0
25,2_3_counts_entities_22_card_Merch_des_state,196.0
26,2_3_counts_entities_23_card_Merch_des_zip,196.0
27,2_3_counts_entities_24_card_Merch_state_zip,196.0
28,2_3_counts_entities_25_card_Merch_num_des_state,196.0
29,2_3_counts_entities_26_card_Merch_num_des_zip,196.0
30,2_3_counts_entities_27_card_Merch_num_state_zip,196.0
31,2_3_counts_entities_28_card_Merch_des_state_zip,196.0
32,2_3_counts_entities_29_card_Merch_all_info,196.0
Total,,8674.0
