,variables
0,U_smoothed_merchnum
1,Cardnum_day_since
2,Cardnum_count_0
3,Cardnum_avg_0
4,Cardnum_max_0
5,Cardnum_total_0
6,Cardnum_std_0
7,Cardnum_actual/avg_0
8,Cardnum_actual/max_0
9,Cardnum_actual/total_0
10,Cardnum_variability_avg_0
11,Cardnum_variability_min_0
12,Cardnum_variability_max_0
13,Cardnum_variability_cum_0
14,Cardnum_variability_std_0
15,Cardnum_count_1
16,Cardnum_avg_1
17,Cardnum_max_1
18,Cardnum_total_1
19,Cardnum_std_1
20,Cardnum_actual/avg_1
21,Cardnum_actual/max_1
22,Cardnum_actual/total_1
23,Cardnum_variability_avg_1
24,Cardnum_variability_min_1
25,Cardnum_variability_max_1
26,Cardnum_variability_cum_1
27,Cardnum_variability_std_1
28,Cardnum_count_3
29,Cardnum_avg_3
30,Cardnum_max_3
31,Cardnum_total_3
32,Cardnum_std_3
33,Cardnum_actual/avg_3
34,Cardnum_actual/max_3
35,Cardnum_actual/total_3
36,Cardnum_variability_avg_3
37,Cardnum_variability_min_3
38,Cardnum_variability_max_3
39,Cardnum_variability_cum_3
40,Cardnum_variability_std_3
41,Cardnum_count_7
42,Cardnum_avg_7
43,Cardnum_max_7
44,Cardnum_total_7
45,Cardnum_std_7
46,Cardnum_actual/avg_7
47,Cardnum_actual/max_7
48,Cardnum_actual/total_7
49,Cardnum_variability_avg_7
50,Cardnum_variability_min_7
51,Cardnum_variability_max_7
52,Cardnum_variability_cum_7
53,Cardnum_variability_std_7
54,Cardnum_count_14
55,Cardnum_avg_14
56,Cardnum_max_14
57,Cardnum_total_14
58,Cardnum_std_14
59,Cardnum_actual/avg_14
60,Cardnum_actual/max_14
61,Cardnum_actual/total_14
62,Cardnum_variability_avg_14
63,Cardnum_variability_min_14
64,Cardnum_variability_max_14
65,Cardnum_variability_cum_14
66,Cardnum_variability_std_14
67,Cardnum_count_30
68,Cardnum_avg_30
69,Cardnum_max_30
70,Cardnum_total_30
71,Cardnum_std_30
72,Cardnum_actual/avg_30
73,Cardnum_actual/max_30
74,Cardnum_actual/total_30
75,Cardnum_variability_avg_30
76,Cardnum_variability_min_30
77,Cardnum_variability_max_30
78,Cardnum_variability_cum_30
79,Cardnum_variability_std_30
80,Merchnum_day_since
81,Merchnum_count_0
82,Merchnum_avg_0
83,Merchnum_max_0
84,Merchnum_total_0
85,Merchnum_std_0
86,Merchnum_actual/avg_0
87,Merchnum_actual/max_0
88,Merchnum_actual/total_0
89,Merchnum_variability_avg_0
90,Merchnum_variability_min_0
91,Merchnum_variability_max_0
92,Merchnum_variability_cum_0
93,Merchnum_variability_std_0
94,Merchnum_count_1
95,Merchnum_avg_1
96,Merchnum_max_1
97,Merchnum_total_1
98,Merchnum_std_1
99,Merchnum_actual/avg_1
100,Merchnum_actual/max_1
101,Merchnum_actual/total_1
102,Merchnum_variability_avg_1
103,Merchnum_variability_min_1
104,Merchnum_variability_max_1
105,Merchnum_variability_cum_1
106,Merchnum_variability_std_1
107,Merchnum_count_3
108,Merchnum_avg_3
109,Merchnum_max_3
110,Merchnum_total_3
111,Merchnum_std_3
112,Merchnum_actual/avg_3
113,Merchnum_actual/max_3
114,Merchnum_actual/total_3
115,Merchnum_variability_avg_3
116,Merchnum_variability_min_3
117,Merchnum_variability_max_3
118,Merchnum_variability_cum_3
119,Merchnum_variability_std_3
120,Merchnum_count_7
121,Merchnum_avg_7
122,Merchnum_max_7
