,variables
0,dow_risk
1,U_smoothed_merchnum
2,U_smoothed_cardnum
3,card_Merch_all_info_variability_std_30
4,card_Merch_all_info_variability_cum_30
5,card_Merch_all_info_variability_max_30
6,card_Merch_all_info_variability_avg_30
7,card_Merch_all_info_actual/total_30
8,card_Merch_all_info_actual/max_30
9,card_Merch_all_info_actual/avg_30
10,card_Merch_all_info_std_30
11,card_Merch_all_info_total_30
12,card_Merch_all_info_max_30
13,card_Merch_all_info_avg_30
14,card_Merch_all_info_count_30
15,card_Merch_all_info_variability_std_14
16,card_Merch_all_info_std_14
17,card_Merch_all_info_variability_std_7
18,card_Merch_all_info_std_7
19,card_Merch_all_info_variability_std_3
20,card_Merch_all_info_std_3
21,card_Merch_all_info_variability_std_1
22,card_Merch_all_info_std_1
23,card_Merch_all_info_variability_std_0
24,card_Merch_all_info_std_0
25,card_Merch_all_info_day_since
26,card_Merch_des_state_zip_variability_std_30
27,card_Merch_des_state_zip_variability_cum_30
28,card_Merch_des_state_zip_variability_max_30
29,card_Merch_des_state_zip_variability_min_30
30,card_Merch_des_state_zip_variability_avg_30
31,card_Merch_des_state_zip_actual/total_30
32,card_Merch_des_state_zip_actual/max_30
33,card_Merch_des_state_zip_actual/avg_30
34,card_Merch_des_state_zip_std_30
35,card_Merch_des_state_zip_total_30
36,card_Merch_des_state_zip_max_30
37,card_Merch_des_state_zip_avg_30
38,card_Merch_des_state_zip_count_30
39,card_Merch_des_state_zip_variability_std_14
40,card_Merch_des_state_zip_variability_cum_14
41,card_Merch_des_state_zip_variability_min_14
42,card_Merch_des_state_zip_variability_avg_14
43,card_Merch_des_state_zip_actual/total_14
44,card_Merch_des_state_zip_actual/avg_14
45,card_Merch_des_state_zip_std_14
46,card_Merch_des_state_zip_total_14
47,card_Merch_des_state_zip_avg_14
48,card_Merch_des_state_zip_count_14
49,card_Merch_des_state_zip_variability_std_7
50,card_Merch_des_state_zip_variability_cum_7
51,card_Merch_des_state_zip_variability_min_7
52,card_Merch_des_state_zip_variability_avg_7
53,card_Merch_des_state_zip_actual/total_7
54,card_Merch_des_state_zip_actual/avg_7
55,card_Merch_des_state_zip_std_7
56,card_Merch_des_state_zip_total_7
57,card_Merch_des_state_zip_avg_7
58,card_Merch_des_state_zip_count_7
59,card_Merch_des_state_zip_variability_std_3
60,card_Merch_des_state_zip_std_3
61,card_Merch_des_state_zip_variability_std_1
62,card_Merch_des_state_zip_std_1
63,card_Merch_des_state_zip_variability_std_0
64,card_Merch_des_state_zip_std_0
65,card_Merch_des_state_zip_day_since
66,card_Merch_num_state_zip_variability_std_30
67,card_Merch_num_state_zip_variability_cum_30
68,card_Merch_num_state_zip_variability_max_30
69,card_Merch_num_state_zip_variability_min_30
70,card_Merch_num_state_zip_variability_avg_30
71,card_Merch_num_state_zip_actual/total_30
72,card_Merch_num_state_zip_actual/max_30
73,card_Merch_num_state_zip_actual/avg_30
74,card_Merch_num_state_zip_std_30
75,card_Merch_num_state_zip_total_30
76,card_Merch_num_state_zip_max_30
77,card_Merch_num_state_zip_avg_30
