feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err,add variables in this order,variable name
"(6,)",[0.7137931  0.55017301 0.64359862],0.63585491,"('card_Merch_num_state_total_14',)",0.150820844,0.067021675,0.047391481,1,card_Merch_num_state_total_14
"(6, 95)",[0.77586207 0.55017301 0.67474048],0.666925188,"('card_Merch_num_state_total_14', 'card_Merchnum_max_30')",0.207711592,0.092302752,0.065267902,2,card_Merchnum_max_30
"(6, 95, 117)",[0.76896552 0.57093426 0.71280277],0.68423418,"('card_Merch_num_state_total_14', 'card_Merchnum_max_30', 'card_Merch_des_zip_total_1')",0.187523411,0.08333154,0.058924297,3,card_Merch_des_zip_total_1
"(6, 95, 117, 280)",[0.78275862 0.58131488 0.71626298],0.693445492,"('card_Merch_num_state_total_14', 'card_Merchnum_max_30', 'card_Merch_des_zip_total_1', 'Merch_description_total_0')",0.188592938,0.083806815,0.059260367,4,Merch_description_total_0
"(6, 18, 95, 117, 280)",[0.78965517 0.61591696 0.73010381],0.711891978,"('card_Merch_num_state_total_14', 'card_Merch_state_zip_total_14', 'card_Merchnum_max_30', 'card_Merch_des_zip_total_1', 'Merch_description_total_0')",0.162221488,0.072087886,0.050973833,5,card_Merch_state_zip_total_14
"(6, 18, 65, 95, 117, 280)",[0.79310345 0.63321799 0.73356401],0.719961818,"('card_Merch_num_state_total_14', 'card_Merch_state_zip_total_14', 'card_Merch_des_state_max_30', 'card_Merchnum_max_30', 'card_Merch_des_zip_total_1', 'Merch_description_total_0')",0.148471773,0.065977797,0.046653347,6,card_Merch_des_state_max_30
"(6, 18, 65, 80, 95, 117, 280)",[0.80344828 0.62975779 0.73702422],0.723410094,"('card_Merch_num_state_total_14', 'card_Merch_state_zip_total_14', 'card_Merch_des_state_max_30', 'card_Merch_des_zip_max_30', 'card_Merchnum_max_30', 'card_Merch_des_zip_total_1', 'Merch_description_total_0')",0.161032045,0.071559323,0.050600082,7,card_Merch_des_zip_max_30
"(6, 18, 65, 80, 81, 95, 117, 280)",[0.80344828 0.62975779 0.73702422],0.723410094,"('card_Merch_num_state_total_14', 'card_Merch_state_zip_total_14', 'card_Merch_des_state_max_30', 'card_Merch_des_zip_max_30', 'card_Merch_des_state_zip_max_30', 'card_Merchnum_max_30', 'card_Merch_des_zip_total_1', 'Merch_description_total_0')",0.161032045,0.071559323,0.050600082,8,card_Merch_des_state_zip_max_30
"(6, 18, 65, 80, 81, 95, 117, 175, 280)",[0.79310345 0.62975779 0.73702422],0.719961818,"('card_Merch_num_state_total_14', 'card_Merch_state_zip_total_14', 'card_Merch_des_state_max_30', 'card_Merch_des_zip_max_30', 'card_Merch_des_state_zip_max_30', 'card_Merchnum_max_30', 'card_Merch_des_zip_total_1', 'card_Merch_num_des_zip_total_0', 'Merch_description_total_0')",0.152500795,0.067768211,0.047919361,9,card_Merch_num_des_zip_total_0
"(6, 18, 65, 74, 80, 81, 95, 117, 175, 280)",[0.80344828 0.62975779 0.73010381],0.721103289,"('card_Merch_num_state_total_14', 'card_Merch_state_zip_total_14', 'card_Merch_des_state_max_30', 'card_Merch_des_state_zip_total_30', 'card_Merch_des_zip_max_30', 'card_Merch_des_state_zip_max_30', 'card_Merchnum_max_30', 'card_Merch_des_zip_total_1', 'card_Merch_num_des_zip_total_0', 'Merch_description_total_0')",0.160209687,0.071193884,0.050341678,10,card_Merch_des_state_zip_total_30
