,Model,NVARS,Parameters,Trn,Tst,OOT
0,log reg,10,penalty='none',0.608695652,0.671814672,0.251396648
1,log reg,10,penalty='none',0.632165605,0.634920635,0.346368715
2,log reg,10,penalty='none',0.6256,0.647058824,0.284916201
3,log reg,10,penalty='none',0.63592233,0.622137405,0.357541899
4,log reg,10,penalty='none',0.643086817,0.608527132,0.279329609
5,log reg,10,penalty='none',0.63117284,0.612068966,0.279329609
6,log reg,10,penalty='none',0.609477124,0.671641791,0.340782123
7,log reg,10,penalty='none',0.650641026,0.5859375,0.30726257
8,log reg,10,penalty='none',0.608280255,0.686507937,0.25698324
9,log reg,10,penalty='none',0.617845118,0.615384615,0.245810056
10,log reg,10,,0.627586207,0.64,0.301675978
11,log reg,10,,0.633914422,0.62248996,0.273743017
12,log reg,10,,0.633116883,0.628787879,0.340782123
13,log reg,10,,0.623355263,0.647058824,0.251396648
14,log reg,10,,0.634945398,0.631799163,0.379888268
15,log reg,10,,0.629139073,0.623188406,0.290502793
16,log reg,10,,0.631921824,0.620300752,0.25698324
17,log reg,10,,0.632,0.615686275,0.268156425
18,log reg,10,,0.631160572,0.625498008,0.335195531
19,log reg,10,,0.630363036,0.631386861,0.351955307
20,DT,10,min_impurity_decrease=5e-05,0.679549114,0.656370656,0.497206704
21,DT,10,min_impurity_decrease=5e-05,0.681518152,0.653284672,0.324022346
22,DT,10,min_impurity_decrease=5e-05,0.681818182,0.602272727,0.407821229
23,DT,10,min_impurity_decrease=5e-05,0.678797468,0.689516129,0.296089385
24,DT,10,min_impurity_decrease=5e-05,0.677577741,0.654275093,0.351955307
25,DT,10,min_impurity_decrease=5e-05,0.68627451,0.667910448,0.379888268
26,DT,10,min_impurity_decrease=5e-05,0.666139241,0.633064516,0.458100559
27,DT,10,min_impurity_decrease=5e-05,0.646381579,0.610294118,0.458100559
28,DT,10,min_impurity_decrease=5e-05,0.660287081,0.656126482,0.30726257
29,DT,10,min_impurity_decrease=5e-05,0.675324675,0.643939394,0.38547486
30,DT,10,min_impurity_decrease=3e-05,0.702265372,0.671755725,0.491620112
31,DT,10,min_impurity_decrease=3e-05,0.703349282,0.628458498,0.391061453
32,DT,10,min_impurity_decrease=3e-05,0.683006536,0.675373134,0.273743017
33,DT,10,min_impurity_decrease=3e-05,0.70178282,0.650190114,0.502793296
34,DT,10,min_impurity_decrease=3e-05,0.691297209,0.693726937,0.469273743
35,DT,10,min_impurity_decrease=3e-05,0.689236111,0.674342105,0.430167598
36,DT,10,min_impurity_decrease=3e-05,0.69004894,0.662921348,0.240223464
37,DT,10,min_impurity_decrease=3e-05,0.716108453,0.644268775,0.413407821
38,DT,10,min_impurity_decrease=3e-05,0.698051948,0.693181818,0.351955307
39,DT,10,min_impurity_decrease=3e-05,0.680645161,0.676923077,0.413407821
40,DT,10,min_impurity_decrease=2e-05,0.703821656,0.638888889,0.318435754
41,DT,10,min_impurity_decrease=2e-05,0.738095238,0.628,0.396648045
42,DT,10,min_impurity_decrease=2e-05,0.734094617,0.674157303,0.329608939
43,DT,10,min_impurity_decrease=2e-05,0.704809287,0.646209386,0.290502793
44,DT,10,min_impurity_decrease=2e-05,0.688958009,0.654008439,0.407821229
45,DT,10,min_impurity_decrease=2e-05,0.714975845,0.629343629,0.391061453
46,DT,10,min_impurity_decrease=2e-05,0.706362153,0.625468165,0.368715084
47,DT,10,min_impurity_decrease=2e-05,0.724473258,0.673003802,0.469273743
48,DT,10,min_impurity_decrease=2e-05,0.701954397,0.669172932,0.530726257
49,DT,10,min_impurity_decrease=2e-05,0.688709677,0.646153846,0.396648045
50,DT,10,min_impurity_decrease=1e-05,0.737421384,0.606557377,0.413407821
51,DT,10,min_impurity_decrease=1e-05,0.740863787,0.615107914,0.268156425
52,DT,10,min_impurity_decrease=1e-05,0.715946844,0.604316547,0.391061453
53,DT,10,min_impurity_decrease=1e-05,0.758039816,0.572687225,0.229050279
54,DT,10,min_impurity_decrease=1e-05,0.750803859,0.57751938,0.329608939
55,DT,10,min_impurity_decrease=1e-05,0.733660131,0.619402985,0.217877095
56,DT,10,min_impurity_decrease=1e-05,0.712643678,0.579335793,0.30726257
57,DT,10,min_impurity_decrease=1e-05,0.782051282,0.6171875,0.480446927
58,DT,10,min_impurity_decrease=1e-05,0.756622517,0.597826087,0.418994413
59,DT,10,min_impurity_decrease=1e-05,0.752079867,0.573476703,0.301675978
60,DT,10,min_impurity_decrease=2.5e-05,0.696574225,0.670411985,0.25698324
61,DT,10,min_impurity_decrease=2.5e-05,0.717355372,0.618181818,0.312849162
62,DT,10,min_impurity_decrease=2.5e-05,0.683006536,0.649253731,0.43575419
63,DT,10,min_impurity_decrease=2.5e-05,0.70519263,0.586572438,0.240223464
64,DT,10,min_impurity_decrease=2.5e-05,0.705107084,0.684981685,0.38547486
65,DT,10,min_impurity_decrease=2.5e-05,0.716887417,0.644927536,0.413407821
66,DT,10,min_impurity_decrease=2.5e-05,0.706467662,0.635379061,0.312849162
67,DT,10,min_impurity_decrease=2.5e-05,0.693574959,0.622710623,0.474860335
68,DT,10,min_impurity_decrease=2.5e-05,0.717791411,0.692982456,0.351955307
69,DT,10,min_impurity_decrease=2.5e-05,0.691927512,0.644688645,0.374301676
70,DT,10,min_impurity_decrease=3.5e-05,0.696141479,0.678294574,0.407821229
71,DT,10,min_impurity_decrease=3.5e-05,0.677631579,0.702205882,0.396648045
72,DT,10,min_impurity_decrease=3.5e-05,0.708201893,0.654471545,0.312849162
73,DT,10,min_impurity_decrease=3.5e-05,0.707936508,0.636,0.296089385
74,DT,10,min_impurity_decrease=3.5e-05,0.695721078,0.666666667,0.424581006
75,DT,10,min_impurity_decrease=3.5e-05,0.691588785,0.630252101,0.284916201
76,DT,10,min_impurity_decrease=3.5e-05,0.695867769,0.618181818,0.525139665
77,DT,10,min_impurity_decrease=3.5e-05,0.700483092,0.629343629,0.402234637
78,DT,10,min_impurity_decrease=3.5e-05,0.699356913,0.65503876,0.363128492
79,DT,10,min_impurity_decrease=3.5e-05,0.67721519,0.673387097,0.379888268
80,RF,10,"min_impurity_decrease=2e-05, n_estimators=20",0.778501629,0.729323308,0.519553073
81,RF,10,"min_impurity_decrease=2e-05, n_estimators=20",0.818330606,0.710037175,0.541899441
82,RF,10,"min_impurity_decrease=2e-05, n_estimators=20",0.807098765,0.754310345,0.525139665
83,RF,10,"min_impurity_decrease=2e-05, n_estimators=20",0.83252818,0.691119691,0.558659218
84,RF,10,"min_impurity_decrease=2e-05, n_estimators=20",0.790082645,0.727272727,0.530726257
85,RF,10,"min_impurity_decrease=2e-05, n_estimators=20",0.819645733,0.725868726,0.502793296
86,RF,10,"min_impurity_decrease=2e-05, n_estimators=20",0.794165316,0.798479087,0.569832402
87,RF,10,"min_impurity_decrease=2e-05, n_estimators=20",0.801626016,0.747169811,0.541899441
88,RF,10,"min_impurity_decrease=2e-05, n_estimators=20",0.788368336,0.754789272,0.547486034
89,RF,10,"min_impurity_decrease=2e-05, n_estimators=20",0.787928222,0.719101124,0.525139665
90,RF,10,"min_impurity_decrease=3e-05, min_samples_leaf=15, min_samples_split=30, n_estimators=20",0.752396166,0.75984252,0.547486034
91,RF,10,"min_impurity_decrease=3e-05, min_samples_leaf=15, min_samples_split=30, n_estimators=20",0.763422819,0.686619718,0.547486034
92,RF,10,"min_impurity_decrease=3e-05, min_samples_leaf=15, min_samples_split=30, n_estimators=20",0.738095238,0.705479452,0.553072626
93,RF,10,"min_impurity_decrease=3e-05, min_samples_leaf=15, min_samples_split=30, n_estimators=20",0.713607595,0.697580645,0.553072626
94,RF,10,"min_impurity_decrease=3e-05, min_samples_leaf=15, min_samples_split=30, n_estimators=20",0.753289474,0.669117647,0.508379888
