bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,590.0,244.0,346.0,41.355932203389834,58.644067796610166,590.0,244.0,346.0,0.41782968303166257,56.5359477124183,56.118118029386636,0.7052023121387283
2.0,590.0,488.0,102.0,82.71186440677967,17.288135593220332,1180.0,732.0,448.0,1.2534890490949877,73.20261437908496,71.94912532998998,1.6339285714285714
3.0,590.0,563.0,27.0,95.42372881355932,4.576271186440678,1770.0,1295.0,475.0,2.2175796701885373,77.61437908496733,75.39679941477878,2.7263157894736842
4.0,590.0,583.0,7.0,98.8135593220339,1.1864406779661039,2360.0,1878.0,482.0,3.215918625956813,78.75816993464052,75.5422513086837,3.896265560165975
5.0,590.0,577.0,13.0,97.79661016949153,2.2033898305084705,2950.0,2455.0,495.0,4.20398308132267,80.88235294117646,76.67836985985379,4.959595959595959
6.0,591.0,588.0,3.0,99.49238578680203,0.507614213197968,3541.0,3043.0,498.0,5.210884120759628,81.37254901960785,76.16166489884822,6.110441767068273
7.0,590.0,587.0,3.0,99.49152542372882,0.5084745762711833,4131.0,3630.0,501.0,6.216072743462849,81.86274509803921,75.64667235457637,7.245508982035928
8.0,590.0,583.0,7.0,98.8135593220339,1.1864406779661039,4721.0,4213.0,508.0,7.214411699231125,83.00653594771242,75.7921242484813,8.293307086614174
9.0,590.0,585.0,5.0,99.15254237288136,0.8474576271186436,5311.0,4798.0,513.0,8.216175488466874,83.82352941176471,75.60735392329784,9.352826510721247
10.0,590.0,587.0,3.0,99.49152542372882,0.5084745762711833,5901.0,5385.0,516.0,9.221364111170095,84.31372549019608,75.09236137902599,10.436046511627907
11.0,590.0,583.0,7.0,98.8135593220339,1.1864406779661039,6491.0,5968.0,523.0,10.21970306693837,85.45751633986929,75.23781327293092,11.411089866156788
12.0,590.0,587.0,3.0,99.49152542372882,0.5084745762711833,7081.0,6555.0,526.0,11.224891689641591,85.94771241830065,74.72282072865906,12.461977186311787
13.0,590.0,585.0,5.0,99.15254237288136,0.8474576271186436,7671.0,7140.0,531.0,12.226655478877339,86.76470588235294,74.53805040347561,13.44632768361582
14.0,590.0,585.0,5.0,99.15254237288136,0.8474576271186436,8261.0,7725.0,536.0,13.228419268113088,87.58169934640523,74.35328007829214,14.412313432835822
15.0,590.0,585.0,5.0,99.15254237288136,0.8474576271186436,8851.0,8310.0,541.0,14.230183057348837,88.39869281045752,74.16850975310868,15.360443622920517
16.0,590.0,588.0,2.0,99.66101694915254,0.3389830508474603,9441.0,8898.0,543.0,15.237084096785793,88.72549019607843,73.48840609929263,16.386740331491712
17.0,591.0,589.0,2.0,99.66159052453469,0.33840947546531197,10032.0,9487.0,545.0,16.245697552956486,89.05228758169935,72.80659002874286,17.407339449541283
18.0,590.0,589.0,1.0,99.83050847457628,0.16949152542372303,10622.0,10076.0,546.0,17.254311009127182,89.2156862745098,71.96137526538263,18.454212454212453
19.0,590.0,587.0,3.0,99.49152542372882,0.5084745762711833,11212.0,10663.0,549.0,18.2594996318304,89.70588235294117,71.44638272111078,19.422586520947178
20.0,590.0,589.0,1.0,99.83050847457628,0.16949152542372303,11802.0,11252.0,550.0,19.268113088001098,89.86928104575163,70.60116795775053,20.458181818181817
21.0,590.0,586.0,4.0,99.32203389830508,0.6779661016949206,12392.0,11838.0,554.0,20.27158929397058,90.52287581699346,70.25128652302288,21.36823104693141
22.0,590.0,589.0,1.0,99.83050847457628,0.16949152542372303,12982.0,12427.0,555.0,21.280202750141274,90.68627450980392,69.40607175966265,22.39099099099099
23.0,590.0,587.0,3.0,99.49152542372882,0.5084745762711833,13572.0,13014.0,558.0,22.285391372844494,91.17647058823529,68.89107921539079,23.322580645161292
24.0,590.0,586.0,4.0,99.32203389830508,0.6779661016949206,14162.0,13600.0,562.0,23.28886757881398,91.83006535947712,68.54119778066314,24.199288256227756
25.0,590.0,588.0,2.0,99.66101694915254,0.3389830508474603,14752.0,14188.0,564.0,24.29576861825094,92.15686274509804,67.86109412684709,25.156028368794328
26.0,590.0,589.0,1.0,99.83050847457628,0.16949152542372303,15342.0,14777.0,565.0,25.304382074421632,92.3202614379085,67.01587936348687,26.153982300884955
27.0,590.0,588.0,2.0,99.66101694915254,0.3389830508474603,15932.0,15365.0,567.0,26.31128311385859,92.6470588235294,66.33577570967081,27.098765432098766
28.0,591.0,590.0,1.0,99.83079526226734,0.16920473773265599,16523.0,15955.0,568.0,27.321608986763017,92.81045751633987,65.48884852957684,28.089788732394368
29.0,590.0,589.0,1.0,99.83050847457628,0.16949152542372303,17113.0,16544.0,569.0,28.330222442933714,92.97385620915033,64.64363376621661,29.075571177504393
30.0,590.0,589.0,1.0,99.83050847457628,0.16949152542372303,17703.0,17133.0,570.0,29.338835899104406,93.13725490196079,63.79841900285638,30.057894736842105
31.0,590.0,590.0,0.0,100.0,0.0,18293.0,17723.0,570.0,30.349161772008838,93.13725490196079,62.788093129951946,31.09298245614035
32.0,590.0,588.0,2.0,99.66101694915254,0.3389830508474603,18883.0,18311.0,572.0,31.356062811445792,93.4640522875817,62.1079894761359,32.01223776223776
33.0,590.0,590.0,0.0,100.0,0.0,19473.0,18901.0,572.0,32.36638868435023,93.4640522875817,61.09766360323147,33.04370629370629
34.0,590.0,590.0,0.0,100.0,0.0,20063.0,19491.0,572.0,33.37671455725465,93.4640522875817,60.08733773032704,34.07517482517483
35.0,590.0,587.0,3.0,99.49152542372882,0.5084745762711833,20653.0,20078.0,575.0,34.381903179957874,93.95424836601308,59.5723451860552,34.918260869565216
36.0,590.0,583.0,7.0,98.8135593220339,1.1864406779661039,21243.0,20661.0,582.0,35.38024213572615,95.09803921568627,59.71779707996012,35.5
37.0,590.0,589.0,1.0,99.83050847457628,0.16949152542372303,21833.0,21250.0,583.0,36.38885559189684,95.26143790849673,58.87258231659989,36.449399656946824
